Sample,Ecosystem,Diversity,Biome,Soil_OM,GWC ,Root_biomass,pH,Soil_respiration,pH2,Phosphorus ,Potassium ,Magnesium ,Sand,Silt,Clay,Nitrogen ,Manganese ,Iron ,Phosphorus2,Carbon ,C:N
B1002A1,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002A2,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002A3,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002A4,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B1,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B2,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B3,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B4,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A1,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A2,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A3,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A4,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B1,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B2,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B3,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B4,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1102A1,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102A2,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102A3,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102A4,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B1,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B2,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B3,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B4,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1104A1,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104A2,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104A3,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104A4,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B1,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B2,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B3,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B4,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B2012A1,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012A2,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012A3,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
